Sample ID	Method ID	Taxa-Level	Taxa-Name	# of Reads	% of Total	Avg-Score
10_S_B01_2010_12_17_2	1	family	Streptococcaceae	994	11.36	0.97
10_S_B01_2010_12_17_2	1	family	Sphingomonadaceae	1	0.01	1.00
10_S_B01_2010_12_17_2	1	family	Listeriaceae	2	0.02	1.00
10_S_B01_2010_12_17_2	1	family	Desulfomicrobiaceae	3	0.03	1.00
10_S_B01_2010_12_17_2	1	family	Cardiobacteriaceae	46	0.53	0.94
10_S_B01_2010_12_17_2	1	family	Eubacteriaceae	89	1.02	0.90
10_S_B01_2010_12_17_2	1	family	Neisseriaceae	350	4.00	0.98
10_S_B01_2010_12_17_2	1	family	Veillonellaceae	546	6.24	0.98
10_S_B01_2010_12_17_2	1	family	Burkholderiaceae	2	0.02	1.00
10_S_B01_2010_12_17_2	1	family	Rikenellaceae	8	0.09	0.73
10_S_B01_2010_12_17_2	1	family	Methylobacteriaceae	12	0.14	1.00
10_S_B01_2010_12_17_2	1	family	Erysipelotrichaceae	16	0.18	0.95
10_S_B01_2010_12_17_2	1	family	Clostridiales_Incertae Sedis XIII	13	0.15	0.94
10_S_B01_2010_12_17_2	1	family	Prevotellaceae	1014	11.59	0.98
10_S_B01_2010_12_17_2	1	family	Lactobacillaceae	6	0.07	1.00
10_S_B01_2010_12_17_2	1	family	Mycoplasmataceae	8	0.09	0.96
10_S_B01_2010_12_17_2	1	family	Fusobacteriaceae	656	7.50	0.98
10_S_B01_2010_12_17_2	1	family	Spirochaetaceae	365	4.17	0.97
10_S_B01_2010_12_17_2	1	family	Desulfohalobiaceae	1	0.01	0.79
10_S_B01_2010_12_17_2	1	family	Staphylococcaceae	1	0.01	1.00
10_S_B01_2010_12_17_2	1	family	Peptococcaceae 1	4	0.05	0.72
10_S_B01_2010_12_17_2	1	family	Bacillaceae 2	1	0.01	0.52
10_S_B01_2010_12_17_2	1	family	Synergistaceae	109	1.25	0.91
10_S_B01_2010_12_17_2	1	family	Rhodocyclaceae	5	0.06	0.75
10_S_B01_2010_12_17_2	1	family	Campylobacteraceae	56	0.64	1.00
10_S_B01_2010_12_17_2	1	family	Porphyromonadaceae	1044	11.93	0.97
10_S_B01_2010_12_17_2	1	family	Bacillales_Incertae Sedis XI	29	0.33	0.97
10_S_B01_2010_12_17_2	1	family	Carnobacteriaceae	47	0.54	0.84
10_S_B01_2010_12_17_2	1	family	Anaerolineaceae	1	0.01	0.96
10_S_B01_2010_12_17_2	1	family	Pasteurellaceae	310	3.54	0.99
10_S_B01_2010_12_17_2	1	family	Peptostreptococcaceae	51	0.58	0.92
10_S_B01_2010_12_17_2	1	family	Lachnospiraceae	100	1.14	0.95
10_S_B01_2010_12_17_2	1	family	Clostridiales_Incertae Sedis XI	50	0.57	0.95
10_S_B01_2010_12_17_2	1	family	Bacteroidaceae	6	0.07	0.89
10_S_B01_2010_12_17_2	1	family	Enterococcaceae	2	0.02	0.63
10_S_B01_2010_12_17_2	1	family	Alcaligenaceae	5	0.06	0.72
10_S_B01_2010_12_17_2	1	family	Flavobacteriaceae	205	2.34	0.98
10_S_B01_2010_12_17_2	1	family	Bacteroidales_incertae_sedis	19	0.22	0.97
10_S_B01_2010_12_17_2	1	family	Aerococcaceae	9	0.10	0.93
10_S_B01_2010_12_17_2	1	family	Desulfobulbaceae	8	0.09	0.94
10_S_B01_2010_12_17_2	1	family	Bifidobacteriaceae	48	0.55	0.99
10_S_B01_2010_12_17_2	1	genus	Gardnerella	1	0.01	0.52
10_S_B01_2010_12_17_2	1	genus	Bifidobacterium	22	0.25	0.95
10_S_B01_2010_12_17_2	1	genus	Scardovia	23	0.26	0.99
10_S_B01_2010_12_17_2	1	genus	Turicella	3	0.03	0.58
10_S_B01_2010_12_17_2	1	genus	Tessaracoccus	18	0.21	0.55
10_S_B01_2010_12_17_2	1	genus	Rothia	90	1.03	0.97
10_S_B01_2010_12_17_2	1	genus	Mycobacterium	22	0.25	0.96
10_S_B01_2010_12_17_2	1	genus	Actinomycetospora	5	0.06	0.62
10_S_B01_2010_12_17_2	1	genus	Corynebacterium	480	5.49	0.93
10_S_B01_2010_12_17_2	1	genus	Actinomyces	671	7.67	0.96
10_S_B01_2010_12_17_2	1	genus	Propionibacterium	8	0.09	0.65
10_S_B01_2010_12_17_2	1	genus	Atopobium	21	0.24	0.99
10_S_B01_2010_12_17_2	1	genus	Olsenella	61	0.70	0.96
10_S_B01_2010_12_17_2	1	genus	Actinobaculum	8	0.09	0.57
10_S_B01_2010_12_17_2	1	genus	TM7_genera_incertae_sedis	29	0.33	1.00
10_S_B01_2010_12_17_2	1	genus	SR1_genera_incertae_sedis	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Streptophyta	2	0.02	1.00
10_S_B01_2010_12_17_2	1	genus	Nicoletella	1	0.01	0.50
10_S_B01_2010_12_17_2	1	genus	Ralstonia	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Shuttleworthia	6	0.07	0.93
10_S_B01_2010_12_17_2	1	genus	Phocoenobacter	4	0.05	0.56
10_S_B01_2010_12_17_2	1	genus	Johnsonella	12	0.14	0.88
10_S_B01_2010_12_17_2	1	genus	Peptococcus	4	0.05	0.69
10_S_B01_2010_12_17_2	1	genus	Centipeda	14	0.16	0.72
10_S_B01_2010_12_17_2	1	genus	Peptostreptococcaceae_incertae_sedis	3	0.03	0.84
10_S_B01_2010_12_17_2	1	genus	Dialister	16	0.18	0.90
10_S_B01_2010_12_17_2	1	genus	Peptostreptococcus	8	0.09	0.88
10_S_B01_2010_12_17_2	1	genus	Xylanibacter	10	0.11	0.64
10_S_B01_2010_12_17_2	1	genus	Aggregatibacter	260	2.97	0.99
10_S_B01_2010_12_17_2	1	genus	Oribacterium	22	0.25	0.97
10_S_B01_2010_12_17_2	1	genus	Abiotrophia	9	0.10	0.93
10_S_B01_2010_12_17_2	1	genus	Bergeriella	8	0.09	0.81
10_S_B01_2010_12_17_2	1	genus	Syntrophococcus	20	0.23	0.61
10_S_B01_2010_12_17_2	1	genus	Aminobacterium	7	0.08	0.52
10_S_B01_2010_12_17_2	1	genus	Cardiobacterium	46	0.53	0.94
10_S_B01_2010_12_17_2	1	genus	Fusobacterium	614	7.02	0.98
10_S_B01_2010_12_17_2	1	genus	Staphylococcus	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Thermovirga	8	0.09	0.62
10_S_B01_2010_12_17_2	1	genus	Leptotrichia	594	6.79	0.99
10_S_B01_2010_12_17_2	1	genus	Granulicatella	37	0.42	0.88
10_S_B01_2010_12_17_2	1	genus	Kingella	58	0.66	0.82
10_S_B01_2010_12_17_2	1	genus	Asteroleplasma	2	0.02	0.58
10_S_B01_2010_12_17_2	1	genus	Sphingomonas	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Haemophilus	25	0.29	0.82
10_S_B01_2010_12_17_2	1	genus	Aminiphilus	2	0.02	0.53
10_S_B01_2010_12_17_2	1	genus	Brochothrix	2	0.02	1.00
10_S_B01_2010_12_17_2	1	genus	Odoribacter	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Solobacterium	12	0.14	0.93
10_S_B01_2010_12_17_2	1	genus	Alysiella	1	0.01	0.69
10_S_B01_2010_12_17_2	1	genus	Porphyromonas	787	8.99	0.98
10_S_B01_2010_12_17_2	1	genus	Selenomonas	132	1.51	0.96
10_S_B01_2010_12_17_2	1	genus	Neisseria	231	2.64	0.93
10_S_B01_2010_12_17_2	1	genus	Bacteroides	6	0.07	0.89
10_S_B01_2010_12_17_2	1	genus	Allisonella	1	0.01	0.70
10_S_B01_2010_12_17_2	1	genus	Rikenella	8	0.09	0.73
10_S_B01_2010_12_17_2	1	genus	Campylobacter	56	0.64	1.00
10_S_B01_2010_12_17_2	1	genus	Filifactor	40	0.46	0.93
10_S_B01_2010_12_17_2	1	genus	Gemella	29	0.33	0.97
10_S_B01_2010_12_17_2	1	genus	Schwartzia	18	0.21	0.64
10_S_B01_2010_12_17_2	1	genus	Sneathia	7	0.08	0.59
10_S_B01_2010_12_17_2	1	genus	Desulfomicrobium	3	0.03	1.00
10_S_B01_2010_12_17_2	1	genus	Desulfobulbus	8	0.09	0.93
10_S_B01_2010_12_17_2	1	genus	Tannerella	129	1.47	0.91
10_S_B01_2010_12_17_2	1	genus	Shinella	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Anaeroglobus	7	0.08	0.87
10_S_B01_2010_12_17_2	1	genus	Prevotella	941	10.75	0.97
10_S_B01_2010_12_17_2	1	genus	Streptococcus	993	11.35	0.97
10_S_B01_2010_12_17_2	1	genus	Propionivibrio	4	0.05	0.66
10_S_B01_2010_12_17_2	1	genus	Hallella	10	0.11	0.67
10_S_B01_2010_12_17_2	1	genus	Mitsuokella	1	0.01	0.52
10_S_B01_2010_12_17_2	1	genus	Paludibacter	103	1.18	0.72
10_S_B01_2010_12_17_2	1	genus	Paraprevotella	7	0.08	0.61
10_S_B01_2010_12_17_2	1	genus	Bulleidia	4	0.05	1.00
10_S_B01_2010_12_17_2	1	genus	Phocaeicola	19	0.22	0.97
10_S_B01_2010_12_17_2	1	genus	Pseudoramibacter	14	0.16	1.00
10_S_B01_2010_12_17_2	1	genus	Veillonella	323	3.69	0.98
10_S_B01_2010_12_17_2	1	genus	Pectinatus	1	0.01	0.57
10_S_B01_2010_12_17_2	1	genus	Lactobacillus	6	0.07	1.00
10_S_B01_2010_12_17_2	1	genus	Derxia	5	0.06	0.67
10_S_B01_2010_12_17_2	1	genus	Conchiformibius	9	0.10	0.59
10_S_B01_2010_12_17_2	1	genus	Burkholderia	1	0.01	1.00
10_S_B01_2010_12_17_2	1	genus	Eubacterium	75	0.86	0.88
10_S_B01_2010_12_17_2	1	genus	Actinobacillus	6	0.07	0.80
10_S_B01_2010_12_17_2	1	genus	Finegoldia	2	0.02	1.00
10_S_B01_2010_12_17_2	1	genus	Streptobacillus	2	0.02	0.77
10_S_B01_2010_12_17_2	1	genus	Treponema	363	4.15	0.97
10_S_B01_2010_12_17_2	1	genus	Bellilinea	1	0.01	0.67
10_S_B01_2010_12_17_2	1	genus	Parvimonas	46	0.53	0.96
10_S_B01_2010_12_17_2	1	genus	Eikenella	13	0.15	0.63
10_S_B01_2010_12_17_2	1	genus	Mycoplasma	8	0.09	0.96
10_S_B01_2010_12_17_2	1	genus	Mogibacterium	8	0.09	0.96
10_S_B01_2010_12_17_2	1	genus	Catonella	10	0.11	1.00
10_S_B01_2010_12_17_2	1	genus	Clostridium XIX	31	0.35	0.66
10_S_B01_2010_12_17_2	1	genus	Anaerovorax	5	0.06	0.92
10_S_B01_2010_12_17_2	1	genus	Methylobacterium	12	0.14	1.00
10_S_B01_2010_12_17_2	1	genus	Capnocytophaga	193	2.21	0.96
