TAXAID	NAME	TAXALEVEL	PARENT_TAXA_ID
Not Mapped	SR1_genera_incertae_sedis		
475965	Levilinea	genus	292628
Not Mapped	 Escherichia/Shigella 		
1295327	Croceicoccus	genus	335929
89966	Hymenobacter	genus	89373
128827	Erysipelotrichaceae	family	526525
200643	Bacteroidia	class	976
204457	Sphingomonadales	order	28211
2172	Methanobrevibacter	genus	2159
Not Mapped	 Shewanella 		
482	Neisseria	genus	481
294702	Proteiniphilum	genus	171551
Not Mapped	 Peptococcaceae 		
183924	Crenarchaeota	class	28889
213118	Desulfobacterales	order	28221
1378	Gemella	genus	539738
Not Mapped	 Pseudomonadales 		
843	Wolinella	genus	72293
Not Mapped	 Erysipelotrichales 		
195950	Tannerella	genus	171551
Not Mapped	 Coriobacteriales 		
Not Mapped	 Campylobacterales 		
Not Mapped	 Bifidobacterium 		
186828	Carnobacteriaceae	family	186826
85034	Glycomycetaceae	family	85014
246873	Crocinitomix	genus	246874
346096	Paludibacter	genus	171551
203490	Fusobacteria	class	32066
Not Mapped	 Peptoniphilus 		
Not Mapped	 Micrococcus 		
Not Mapped	 Alphaproteobacteria 		
Not Mapped	 Treponema 		
Not Mapped	 Cardiobacterium 		
35829	Acetivibrio	genus	541000
200644	Flavobacteriales	order	117743
1236	Gammaproteobacteria	class	1224
35832	Bilophila	genus	194924
Not Mapped	 Bifidobacteriales 		
Not Mapped	 Syntrophococcus 		
Not Mapped	 Frankineae 		
Not Mapped	 Gemmatimonas 		
1269	Micrococcus	genus	1268
Not Mapped	 Atopobium 		
Not Mapped	 Shinella 		
Not Mapped	 Capnocytophaga 		
469	Acinetobacter	genus	468
41297	Sphingomonadaceae	family	204457
59732	Chryseobacterium	genus	49546
34084	Riemerella	genus	49546
963	Herbaspirillum	genus	75682
Not Mapped	 Gemmatimonadales 		
265570	Sulfurovum	genus	34035
Not Mapped	 Porphyromonadaceae 		
526524	Erysipelotrichia	class	1239
Not Mapped	 Carnobacterium 		
2056	Sphaerobacter	genus	85002
Not Mapped	 Syntrophomonadaceae 		
119060	Burkholderiaceae	family	80840
200666	Sphingobacteriales	order	117747
Not Mapped	 Erwinia 		
71	Simonsiella	genus	481
Not Mapped	 Parvimonas 		
Not Mapped	Clostridiales_Incertae Sedis XIII		
2157	Archaea	superkingdom	131567
Not Mapped	 Verrucomicrobia 		
402649	Actinomycetospora	genus	2070
1645	Renibacterium	genus	1268
596707	Sinomonas	genus	1268
52225	Mitsuokella	genus	31977
836	Porphyromonas	genus	171551
970	Selenomonas	genus	31977
Not Mapped	 Mycoplasma 		
1380	Atopobium	genus	84107
Not Mapped	Peptococcaceae 1		
Not Mapped	 Leuconostocaceae 		
Not Mapped	 Staphylococcaceae 		
2701	Gardnerella	genus	31953
697025	Hoyosella	genus	697024
396388	Aestuariimicrobium	genus	31957
Not Mapped	 Campylobacteraceae 		
264147	Millisia	genus	85026
52228	Hallella	genus	171552
1743	Propionibacterium	genus	31957
41273	Tissierella	genus	543310
85010	Pseudonocardineae	suborder	2037
2158	Methanobacteriales	order	183925
Not Mapped	 Aggregatibacter 		
135622	Alteromonadales	order	1236
551	Erwinia	genus	543
240233	Aeriscardovia	genus	31953
299568	Uruburuella	genus	481
543	Enterobacteriaceae	family	91347
Not Mapped	 Lachnospiracea_incertae_sedis 		
544448	Tenericutes	phylum	2
Not Mapped	 Carnobacteriaceae 		
Not Mapped	 Selenomonas 		
68298	Syntrophomonadaceae	family	186802
133925	Olsenella	genus	84107
898	Desulfomicrobium	genus	213116
1298	Deinococcus	genus	183710
33958	Lactobacillaceae	family	186826
151754	Xenophilus	genus	80864
Not Mapped	 Sphingobacteria 		
Not Mapped	 Spartobacteria_genera_incertae_sedis 		
Not Mapped	 Bergeriella 		
868	Cardiobacteriaceae	family	135615
Not Mapped	 Bradyrhizobiaceae 		
335929	Erythrobacteraceae	family	204457
1257	Peptostreptococcus	genus	186804
422440	Stenoxybacter	genus	481
85013	Frankineae	suborder	2037
196082	Parascardovia	genus	31953
Not Mapped	 Chryseobacterium 		
Not Mapped	 Micrococcineae 		
419014	Alloscardovia	genus	31953
Not Mapped	 Veillonella 		
223785	Hydrogenimonas	genus	292630
135619	Oceanospirillales	order	1236
1224	Proteobacteria	phylum	2
194	Campylobacter	genus	72294
Not Mapped	 Desulfobulbaceae 		
541000	Ruminococcaceae	family	186802
Not Mapped	 Rikenellaceae 		
Not Mapped	 Methanobacteria 		
Not Mapped	 Propionibacteriaceae 		
Not Mapped	 Brevundimonas 		
Not Mapped	 Anaerovorax 		
541019	Gracilibacteraceae	family	186802
Not Mapped	Cyanobacteria/Chloroplast		
Not Mapped	 Hallella 		
909928	Negativicoccus	genus	31977
838	Prevotella	genus	171552
2745	Halomonas	genus	28256
41294	Bradyrhizobiaceae	family	356
Not Mapped	 Olsenella 		
78328	Coenonia	genus	49546
91347	Enterobacteriales	order	1236
Not Mapped	 Synergistales 		
255727	Coriobacterineae	suborder	84999
Not Mapped	Burkholderiales_incertae_sedis		
204458	Caulobacterales	order	28211
Not Mapped	 Chloroflexi 		
158483	Cedecea	genus	543
Not Mapped	 Streptobacillus 		
53416	Lonepinella	genus	712
Not Mapped	 Flavobacteriales 		
Not Mapped	 Shewanellaceae 		
Not Mapped	 Desulfovibrionaceae 		
292480	Atopostipes	genus	186828
Not Mapped	 Coenonia 		
Not Mapped	 Campylobacter 		
22	Shewanella	genus	267890
437755	Moryella	genus	186803
336260	Thermovirga	genus	649777
1237104	Litoribacter	genus	563798
Not Mapped	 Cardiobacteriales 		
Not Mapped	 Enterococcus 		
Not Mapped	 Alloscardovia 		
Not Mapped	 Deinococcaceae 		
28256	Halomonadaceae	family	135619
44259	Filifactor	genus	186804
Not Mapped	 Chloroplast 		
Not Mapped	 Streptophyta 		
Not Mapped	 Actinobacillus 		
28138	Rikenella	genus	171550
203491	Fusobacteriales	order	203490
1654	Actinomyces	genus	2049
Not Mapped	 Caulobacterales 		
547	Enterobacter	genus	543
269258	Nitratiruptor	genus	34035
830	Butyrivibrio	genus	186803
Not Mapped	 Halomonas 		
113286	Pseudoramibacter	genus	186806
Not Mapped	 Nocardioides 		
Not Mapped	 Schwartzia 		
Not Mapped	 Centipeda 		
Not Mapped	 Abiotrophia 		
Not Mapped	Bacillales_Incertae Sedis XI		
508458	Synergistetes	phylum	2
Not Mapped	 Desulfomicrobiaceae 		
Not Mapped	 Anaerolineae 		
Not Mapped	 Mitsuokella 		
33024	Phascolarctobacterium	genus	909930
Not Mapped	 Klebsiella 		
Not Mapped	 Lachnospiraceae 		
Not Mapped	 Oceanospirillales 		
89373	Cytophagaceae	family	768507
Not Mapped	 Pseudoramibacter 		
188786	Thermaceae	family	68933
Not Mapped	 Mycobacterium 		
909929	Selenomonadales	order	909932
Not Mapped	 Burkholderiaceae 		
Not Mapped	 Nicoletella 		
407	Methylobacterium	genus	119045
72274	Pseudomonadales	order	1236
270	Thermus	genus	188786
135615	Cardiobacteriales	order	1236
Not Mapped	 Eubacteriaceae 		
123375	Solobacterium	genus	128827
2737	Vagococcus	genus	81852
Not Mapped	 Cloacibacterium 		
Not Mapped	 Burkholderiales_incertae_sedis 		
85025	Nocardiaceae	family	85007
519427	Sharpea	genus	33958
Not Mapped	 Herminiimonas 		
Not Mapped	 Peptostreptococcaceae_incertae_sedis 		
2717	Cardiobacterium	genus	868
Not Mapped	 Bifidobacteriaceae 		
526525	Erysipelotrichales	order	526524
140625	Lachnobacterium	genus	186803
Not Mapped	 Prevotellaceae 		
Not Mapped	 Methanobrevibacter 		
Not Mapped	 Helicobacteraceae 		
Not Mapped	 Spirochaetaceae 		
Not Mapped	 Bdellovibrionales 		
219685	Gemmatimonadetes	class	142182
Not Mapped	 Alcaligenaceae 		
Not Mapped	 Spartobacteria 		
Not Mapped	 Sutterellaceae 		
Not Mapped	 Pasteurellales 		
286	Pseudomonas	genus	135621
Not Mapped	Chloroplast		
85009	Propionibacterineae	suborder	2037
186804	Peptostreptococcaceae	family	186802
577309	Paraprevotella	genus	171552
Not Mapped	 Enterobacter 		
Not Mapped	 Corynebacterium 		
29465	Veillonella	genus	31977
909656	Phocaeicola	genus	333046
1763	Mycobacterium	genus	1762
Not Mapped	 Neisseria 		
213849	Campylobacterales	order	29547
Not Mapped	Bacteroidales_incertae_sedis		
2093	Mycoplasma	genus	2092
Not Mapped	 Thiomonas 		
369926	Brooklawnia	genus	31957
2373	Acetonema	genus	31977
339721	Desulfovermiculus	genus	213117
Not Mapped	 Anaerolineales 		
Not Mapped	 Planobacterium 		
300418	Catellicoccus	genus	81852
37914	Dietzia	genus	85029
638847	Pyramidobacter	genus	649777
Not Mapped	 Aeriscardovia 		
334107	Conchiformibius	genus	481
76833	Actinobaculum	genus	2049
223927	Oxalicibacterium	genus	75682
Not Mapped	Peptostreptococcaceae_incertae_sedis		
150022	Finegoldia	genus	543310
84995	Rubrobacteridae	subclass	1760
Not Mapped	 Cryptobacterium 		
157	Treponema	genus	137
1279	Staphylococcus	genus	90964
84999	Coriobacteriales	order	84998
1678	Bifidobacterium	genus	31953
Not Mapped	 Mycoplasmataceae 		
Not Mapped	 SR1_genera_incertae_sedis 		
Not Mapped	 Shuttleworthia 		
Not Mapped	 Corynebacteriaceae 		
Not Mapped	 Xanthomonadales 		
85017	Promicromonosporaceae	family	85006
85000	Sphaerobacteridae	subclass	189775
1385	Bacillales	order	91061
Not Mapped	 Epsilonproteobacteria 		
34104	Streptobacillus	genus	1129771
Not Mapped	 Pantoea 		
203692	Spirochaetes	class	203691
75682	Oxalobacteraceae	family	80840
Not Mapped	Bacillaceae 2		
Not Mapped	Bacillaceae 1		
320583	Conexibacteraceae	family	588673
404402	Howardella	genus	186813
420345	Lactonifactor	genus	31979
Not Mapped	 Bacteriovoracaceae 		
186827	Aerococcaceae	family	186826
Not Mapped	 Rikenella 		
Not Mapped	 Massilia 		
186332	Anaeroplasmatales	order	31969
36739	Dermabacter	genus	85020
Not Mapped	 Paracoccus 		
Not Mapped	 Spirochaetes 		
Not Mapped	 Flavobacteriaceae 		
323620	Shinella	genus	82115
80864	Comamonadaceae	family	80840
506	Alcaligenaceae	family	80840
156973	Dysgonomonas	genus	171551
49546	Flavobacteriaceae	family	200644
613	Serratia	genus	543
Not Mapped	 Cytophagaceae 		
Not Mapped	 Pseudonocardineae 		
Not Mapped	 Rhizobiales 		
144193	Turicella	genus	1653
146784	Bacteriovorax	genus	263369
28890	Euryarchaeota	phylum	2157
171549	Bacteroidales	order	200643
572511	Blautia	genus	186803
1129771	Leptotrichiaceae	family	203491
Not Mapped	 Pelomonas 		
Not Mapped	 Dialister 		
85005	Actinomycineae	suborder	2037
558436	Xylanibacter	genus	171552
Not Mapped	 Bacteria 		
Not Mapped	 Gemmatimonadetes 		
Not Mapped	 Mollicutes 		
2747	Carnobacterium	genus	186828
Not Mapped	 Erysipelotrichia 		
114627	Alkaliphilus	genus	31979
Not Mapped	 Eikenella 		
Not Mapped	 Desulfohalobiaceae 		
476528	Bibersteinia	genus	712
Not Mapped	 Kocuria 		
Not Mapped	SR1		
292625	Anaerolineae	class	200795
Not Mapped	 Scardovia 		
1268	Micrococcaceae	family	85006
Not Mapped	 Fusobacteriales 		
Not Mapped	 Listeriaceae 		
53335	Pantoea	genus	543
292630	Hydrogenimonaceae	no rank	213849
Not Mapped	 Intrasporangiaceae 		
Not Mapped	 Thermovirga 		
1663	Arthrobacter	genus	1268
156454	Anaeroglobus	genus	31977
2146	Acholeplasmataceae	family	186329
Not Mapped	 Deinococcales 		
428711	Jonquetella	genus	649777
72763	Tessaracoccus	genus	31957
Not Mapped	 Sphingobacteriales 		
374	Bradyrhizobium	genus	41294
279809	Thiobacter	genus	224471
Not Mapped	 Desulfovibrionales 		
Not Mapped	 Burkholderiales 		
Not Mapped	TM7		
32008	Burkholderia	genus	119060
203697	Derxia	genus	506
91061	Bacilli	class	1239
475960	Bellilinea	genus	292628
285105	Tepidimicrobium	genus	31979
697331	Basfia	genus	712
Not Mapped	 Brooklawnia 		
1384499	Pisciglobus	no rank	186828
Not Mapped	 Microbacterium 		
186826	Lactobacillales	order	91061
119420	Paralactobacillus	genus	33958
Not Mapped	 Pasteurellaceae 		
337670	Pilibacter	genus	81852
Not Mapped	 Gammaproteobacteria 		
41275	Brevundimonas	genus	76892
Not Mapped	 Peptococcus 		
204455	Rhodobacterales	order	28211
135625	Pasteurellales	order	1236
Not Mapped	 Bulleidia 		
186818	Planococcaceae	family	1385
Not Mapped	 Euryarchaeota 		
690565	Serinibacter	genus	125316
Not Mapped	 Nakamurella 		
Not Mapped	 Micrococcaceae 		
Not Mapped	 Alteromonadales 		
135621	Pseudomonadaceae	family	72274
209879	Allisonella	genus	31977
119045	Methylobacteriaceae	family	356
1073	Rhodopseudomonas	genus	41294
84998	Coriobacteridae	subclass	1760
Not Mapped	 Metascardovia 		
203492	Fusobacteriaceae	family	203491
85004	Bifidobacteriales	order	85003
267890	Shewanellaceae	family	135622
33882	Microbacterium	genus	85023
224467	Nautiliaceae	family	235899
Not Mapped	 Caulobacteraceae 		
112902	Propionispora	genus	31977
194924	Desulfovibrionaceae	family	213115
Not Mapped	 Oribacterium 		
1696	Brevibacterium	genus	85019
Not Mapped	 Neisseriales 		
Not Mapped	 Coriobacteriaceae 		
292629	Anaerolineales	order	292625
85007	Corynebacterineae	suborder	2037
649777	Synergistaceae	family	649776
85001	Sphaerobacterales	order	85000
361177	Altererythrobacter	genus	335929
1716	Corynebacterium	genus	1653
Not Mapped	 Thermus 		
1839	Nocardioides	genus	85015
Not Mapped	Escherichia/Shigella		
Not Mapped	 Delftia 		
303226	Lactovum	no rank	1300
32033	Xanthomonadaceae	family	135614
Not Mapped	 Nocardioidaceae 		
815	Bacteroidaceae	family	171549
Not Mapped	 Deinococcus-Thermus 		
872	Desulfovibrio	genus	194924
31953	Bifidobacteriaceae	family	85004
29393	Dolosigranulum	genus	186828
Not Mapped	 Allisonella 		
Not Mapped	Clostridium XlVb		
183710	Deinococcaceae	family	118964
Not Mapped	 Nakamurellaceae 		
28211	Alphaproteobacteria	class	1224
501783	Cloacibacterium	genus	49546
Not Mapped	Corynebacterineae_incertae_sedis		
125316	Beutenbergiaceae	family	85006
Not Mapped	 Howardella 		
2375	Sporomusa	genus	31977
117743	Flavobacteria	class	976
186820	Listeriaceae	family	1385
213116	Desulfomicrobiaceae	family	213115
Not Mapped	 Bacteroidales_incertae_sedis 		
Not Mapped	 Archaea 		
Not Mapped	 Bacillales 		
53457	Janibacter	genus	85021
81466	Aminobacterium	genus	649777
255728	Sphaerobacterineae	suborder	85001
724	Haemophilus	genus	712
Not Mapped	Lachnospiracea_incertae_sedis		
Not Mapped	 Ralstonia 		
186802	Clostridiales	order	186801
82373	Anaerovibrio	genus	31977
1297	Deinococcus-Thermus	phylum	2
142587	Isobaculum	genus	186828
745	Pasteurella	genus	712
Not Mapped	 Erythrobacteraceae 		
Not Mapped	 Varibaculum 		
80840	Burkholderiales	order	28216
Not Mapped	 Xylanibacter 		
Not Mapped	 Rhodocyclaceae 		
Not Mapped	 Peptostreptococcus 		
712	Pasteurellaceae	family	135625
909930	Acidaminococcaceae	family	909929
697279	Bavariicoccus	genus	81852
82283	Centipeda	genus	219098
186801	Clostridia	class	1239
196081	Scardovia	genus	31953
Not Mapped	 Acinetobacter 		
Not Mapped	Clostridiales_Incertae Sedis XII		
Not Mapped	 Oxalobacteraceae 		
Not Mapped	 Synergistia 		
206389	Rhodocyclales	order	28216
81852	Enterococcaceae	family	186826
Not Mapped	 Desulfobulbus 		
568	Hafnia	genus	543
200795	Thermomicrobia	phylum	2
Not Mapped	 Actinobacteridae 		
135614	Xanthomonadales	order	1236
Not Mapped	 Microbacteriaceae 		
43996	Catonella	genus	186803
Not Mapped	 Brevibacteriaceae 		
Not Mapped	 Actinomyces 		
Not Mapped	 Deinococcus 		
109326	Anaerovorax	genus	543314
1300	Streptococcaceae	family	186826
68985	Methanopyrales	order	183988
31989	Rhodobacteraceae	family	204455
283	Comamonas	genus	80864
Not Mapped	 Atopostipes 		
Not Mapped	 Streptococcaceae 		
265975	Oribacterium	genus	186803
Not Mapped	 Comamonas 		
173479	Gemmatimonas	genus	219687
2152	Asteroleplasma	genus	186333
848	Fusobacterium	genus	203492
32067	Leptotrichia	genus	1129771
Not Mapped	 Deltaproteobacteria 		
Not Mapped	 Coriobacteridae 		
Not Mapped	 Desemzia 		
Not Mapped	 Brevibacterium 		
Not Mapped	 Synergistaceae 		
659694	Planobacterium	genus	49546
Not Mapped	 Actinobaculum 		
Not Mapped	Spartobacteria_genera_incertae_sedis		
164984	Schwartzia	genus	55360
Not Mapped	 Barnesiella 		
Not Mapped	 Azomonas 		
Not Mapped	 Rothia 		
Not Mapped	 Methylobacteriaceae 		
92793	Aquabacterium	genus	224471
468	Moraxellaceae	family	72274
188787	Deinococci	class	1297
Not Mapped	 Propionivibrio 		
Not Mapped	 Actinomycetaceae 		
85021	Intrasporangiaceae	family	85006
Not Mapped	 Rhodobacteraceae 		
2147	Acholeplasma	genus	2146
356	Rhizobiales	order	28211
Not Mapped	TM7_genera_incertae_sedis		
79603	Denitrobacterium	genus	84107
Not Mapped	 Wolinella 		
1350	Enterococcus	genus	81852
Not Mapped	 Bacilli 		
134549	Spartobacteria	class	74201
Not Mapped	 Rhodocyclales 		
Not Mapped	Clostridium XIX		
Not Mapped	 Chlorophyta 		
183988	Methanopyri	class	28890
Not Mapped	 Bacteroidetes 		
85029	Dietziaceae	family	85007
74201	Verrucomicrobia	phylum	51290
Not Mapped	 Cardiobacteriaceae 		
48736	Ralstonia	genus	119060
177971	Shuttleworthia	genus	186803
Not Mapped	Clostridiaceae 2		
Not Mapped	 Janibacter 		
Not Mapped	 Negativicutes 		
Not Mapped	 Raoultella 		
Not Mapped	 Pseudomonadaceae 		
Not Mapped	Clostridiaceae 4		
2049	Actinomycetaceae	family	85005
186806	Eubacteriaceae	family	186802
Not Mapped	 Aerococcaceae 		
31977	Veillonellaceae	family	909929
Not Mapped	 Phascolarctobacterium 		
31957	Propionibacteriaceae	family	85009
307628	Petrimonas	genus	171551
Not Mapped	 Odoribacter 		
Not Mapped	 Thermaceae 		
Not Mapped	 Lactococcus 		
33969	Melissococcus	genus	81852
448176	Granulicoccus	no rank	31957
Not Mapped	 TM7_genera_incertae_sedis 		
Not Mapped	 Leptotrichia 		
649775	Synergistia	class	508458
183925	Methanobacteria	class	28890
Not Mapped	 Propionibacterium 		
168808	Sneathia	genus	1129771
Not Mapped	 Johnsonella 		
1835	Saccharopolyspora	genus	2070
69961	Azomonas	genus	351
Not Mapped	 Kingella 		
136491	Atopobacter	genus	186828
Not Mapped	 Tannerella 		
100132	Sporobacterium	genus	186803
75787	Rhodocyclaceae	family	206389
186803	Lachnospiraceae	family	186802
1253	Pediococcus	genus	33958
Not Mapped	 Actinomycetales 		
Not Mapped	 Anoxybacillus 		
Not Mapped	 Streptococcus 		
563835	Chitinophagaceae	no rank	200666
588673	Solirubrobacterales	order	84995
13275	Suttonella	genus	868
Not Mapped	 Mycobacteriaceae 		
Not Mapped	 Comamonadaceae 		
12916	Acidovorax	genus	80864
93217	Pandoraea	genus	119060
356827	Metascardovia	genus	31953
Not Mapped	 Ruminococcaceae 		
Not Mapped	 Bacteroidaceae 		
85003	Actinobacteridae	subclass	1760
151037	Anaerosinus	genus	31977
Not Mapped	 Sphingomonas 		
Not Mapped	 Veillonellaceae 		
Not Mapped	 Cloacibacillus 		
Not Mapped	 Lactobacillales 		
2092	Mycoplasmataceae	family	2085
Not Mapped	 Firmicutes 		
51668	Tetragenococcus	genus	81852
Not Mapped	 Slackia 		
150247	Anoxybacillus	genus	186817
Not Mapped	 Staphylococcus 		
Not Mapped	 Desulfobacterales 		
249411	Paracoccus	genus	30190
909932	Negativicutes	class	1239
Not Mapped	 Thermales 		
171550	Rikenellaceae	family	171549
28221	Deltaproteobacteria	class	68525
Not Mapped	 Finegoldia 		
184869	Varibaculum	genus	2049
117563	Granulicatella	genus	186828
Not Mapped	 Granulicatella 		
Not Mapped	 TM7 		
Not Mapped	 Clostridiales 		
137	Spirochaetaceae	family	136
633405	Lacticigenium	genus	186828
2085	Mycoplasmatales	order	31969
2319	Methanopyrus	genus	183713
149698	Massilia	genus	75682
667112	Lutispora	genus	31979
Not Mapped	 Chitinophagaceae 		
Not Mapped	 Bacteroidia 		
Not Mapped	 Xanthomonadaceae 		
Not Mapped	 Pectinatus 		
Not Mapped	 Fusobacterium 		
118964	Deinococcales	order	188787
85006	Micrococcineae	suborder	2037
200795	Chloroflexi	phylum	2
72294	Campylobacteraceae	family	213849
